City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,port blair,11.6667,92.75,33.02,66,20,4.12,IN,1712897053
82,sapele,5.8941,5.6767,26.25,89,100,1.46,NG,1712897250
83,kerikeri,-35.2268,173.9474,22.73,72,1,3.32,NZ,1712897135
84,minas de marcona,-15.2119,-75.1103,17.7,80,99,3.4,PE,1712897252
85,mount isa,-20.7333,139.5,28.87,21,2,3.6,AU,1712897252
86,dahab,28.501,34.5134,22.99,44,60,5.28,EG,1712897252
87,tralee,52.2704,-9.7026,10.99,97,100,2.99,IE,1712897252
88,kingscliff,-28.2667,153.5667,25.98,61,75,5.66,AU,1712897252
89,vernon,50.2581,-119.2691,12.2,70,100,2.57,CA,1712897253
90,kaiapoi,-43.3783,172.6401,12.06,88,75,5.66,NZ,1712897253
91,i-n-salah,27.1935,2.4607,17.52,36,0,5.23,DZ,1712897198
92,puerto san jose,13.9256,-90.8244,28.44,72,12,0.46,GT,1712897131
93,invercargill,-46.4,168.35,10.01,80,88,1.34,NZ,1712897050
94,svetlyy,54.675,20.1347,12.98,91,100,6.16,RU,1712897254
95,vilyuysk,63.7553,121.6247,-15.56,78,65,4.02,RU,1712897254
96,melfort,52.8667,-104.6177,1.07,75,20,2.57,CA,1712897254
97,igarka,67.4667,86.5833,-17.05,86,78,5.93,RU,1712897255
98,kapa'a,22.0752,-159.319,23.18,92,100,7.72,US,1712897255
99,cumanayagua,22.1494,-80.2022,25.23,90,64,1.31,CU,1712897191
100,portland,45.5234,-122.6762,12.96,73,100,3.09,US,1712897192
101,pontianak,-0.0333,109.3333,29.99,79,75,4.12,ID,1712897087
102,megarine,33.192,6.087,12.08,87,75,1.54,DZ,1712897217
103,hailey,43.5196,-114.3153,11.84,68,97,1.34,US,1712897256
104,bonthe,7.5264,-12.505,24.97,87,98,1.37,SL,1712897256
105,yulin,22.6333,110.15,28.32,69,99,3.56,CN,1712897016
106,bilibino,68.0546,166.4372,-6.7,75,91,1.49,RU,1712897257
107,kununurra,-15.7667,128.7333,32.99,33,17,4.63,AU,1712897257
108,lakatoro,-16.0999,167.4164,29.12,72,34,1.97,VU,1712897258
109,bethel,41.3712,-73.414,16.47,89,100,5.66,US,1712897258
110,perevolotskiy,51.8763,54.1938,12.83,64,98,7.34,RU,1712897259
111,badger,64.8,-147.5333,4.14,52,100,2.57,US,1712897046
112,menongue,-14.6585,17.691,17.79,96,100,1.66,AO,1712897259
113,st. john's,47.5649,-52.7093,1.1,82,0,10.29,CA,1712897063
114,yinchuan,38.4681,106.2731,24.07,12,7,0.94,CN,1712897259
115,nova sintra,14.8667,-24.7167,19.22,77,8,5.64,CV,1712897260
116,miquelon,47.0975,-56.3814,0.0,85,23,5.43,PM,1712897260
117,parkes,-33.1333,148.1833,24.64,35,0,2.24,AU,1712897020
118,lebu,-37.6167,-73.65,10.34,89,0,2.57,CL,1712897260
119,doka,13.5167,35.7667,28.49,28,54,4.68,SD,1712897261
120,oriximina,-1.7656,-55.8661,24.7,96,99,1.2,BR,1712897261
121,georgiyevka,43.0369,74.7114,12.02,82,75,2.0,KZ,1712897261
122,saqqez,36.2499,46.2735,8.38,65,51,4.77,IR,1712897025
123,leshan,29.5623,103.7639,26.77,53,89,1.61,CN,1712897262
124,giado,31.9582,12.0203,13.13,81,100,4.94,LY,1712897262
125,ciudad del carmen,18.6333,-91.8333,24.85,62,65,5.92,MX,1712897262
126,hamilton,39.1834,-84.5333,11.47,81,75,10.28,US,1712897117
127,antalaha,-14.9003,50.2788,27.68,77,39,0.94,MG,1712897196
128,shirdi,19.7667,74.4833,33.35,32,31,5.12,IN,1712897263
129,charlottetown,46.2352,-63.1267,4.87,70,40,7.2,CA,1712897263
130,la ronge,55.1001,-105.2842,0.14,80,0,1.03,CA,1712897263
131,college,64.8569,-147.8028,4.18,51,75,2.57,US,1712897263
132,klyuchi,52.2667,79.1667,0.93,39,3,1.22,RU,1712897264
133,shohimardon,39.9839,71.8028,13.43,48,100,1.15,UZ,1712897264
134,port lincoln,-34.7333,135.8667,16.6,56,36,4.56,AU,1712897243
135,nemuro,43.3236,145.575,5.32,93,100,6.32,JP,1712897223
136,inhambane,-23.865,35.3833,20.0,88,75,4.63,MZ,1712897265
137,monrovia,6.3005,-10.7969,24.87,85,79,0.49,LR,1712896981
138,albany,42.6001,-73.9662,16.16,82,100,3.13,US,1712897265
139,goroka,-6.0834,145.3873,20.72,91,96,0.2,PG,1712897265
140,celestun,20.8667,-90.4,23.14,64,11,6.11,MX,1712897266
141,tual,-5.6667,132.75,28.6,73,33,3.5,ID,1712897266
142,sotkamo,64.1333,28.4167,1.01,97,100,3.43,FI,1712897266
143,dire dawa,9.5931,41.8661,26.15,54,64,2.17,ET,1712897052
144,ust-nera,64.5667,143.2,-0.99,82,71,3.12,RU,1712897267
145,anton lizardo,19.05,-95.9833,22.9,66,0,3.1,MX,1712897267
146,tianpeng,30.9866,103.9393,24.26,54,97,2.21,CN,1712897267
147,khorixas,-20.3667,14.9667,24.07,42,67,3.87,NA,1712897268
148,santa rosalia,27.3167,-112.2833,21.81,27,100,2.9,MX,1712897268
149,thompson,55.7435,-97.8558,0.09,80,100,2.57,CA,1712897268
150,zeya,53.75,127.2667,3.6,68,100,3.14,RU,1712897269
151,taguatinga,-12.3857,-46.5711,23.47,86,94,0.34,BR,1712897269
152,stanley,54.868,-1.6985,10.44,85,100,4.86,GB,1712897269
153,vilyuchinsk,52.9306,158.4028,9.15,98,55,0.98,RU,1712897269
154,sola,-13.8833,167.55,28.5,79,44,4.78,VU,1712897270
155,kargasok,59.0556,80.8572,-9.46,74,70,2.68,RU,1712897270
156,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,31,0,3.0,RU,1712897270
157,yemetsk,63.4721,41.7941,3.19,87,100,4.44,RU,1712897270
158,khajuraho group of monuments,24.85,79.9333,35.16,24,81,2.9,IN,1712897271
159,carnarvon,-24.8667,113.6333,26.69,49,5,4.16,AU,1712897271
160,colombo,6.9319,79.8478,29.97,68,31,2.71,LK,1712896651
161,srandakan,-7.9386,110.2506,30.08,72,71,4.34,ID,1712897272
162,chonchi,-42.6128,-73.8092,5.62,75,0,0.94,CL,1712897272
163,vadso,70.0744,29.7487,0.49,86,75,4.63,NO,1712897273
164,sechelt,49.4664,-123.7694,9.0,91,100,2.93,CA,1712897273
165,al fashn,28.8243,30.8995,18.34,56,7,4.45,EG,1712897065
166,happy valley-goose bay,53.3168,-60.3315,5.17,65,20,5.14,CA,1712897273
167,nieuw amsterdam,5.8833,-55.0833,25.09,89,51,3.68,SR,1712897274
168,olyokminsk,60.3736,120.4264,-3.86,55,100,2.48,RU,1712897274
169,utrik,11.2278,169.8474,26.72,75,100,8.2,MH,1712897274
170,taltal,-25.4,-70.4833,17.47,84,40,1.2,CL,1712897275
171,blacksburg,37.2296,-80.4139,14.29,77,100,1.54,US,1712897127
172,talnakh,69.4865,88.3972,-21.87,93,94,5.17,RU,1712897072
173,castillos,-34.1667,-53.8333,16.39,61,82,3.27,UY,1712897275
174,susuman,62.7833,148.1667,-5.01,78,38,1.79,RU,1712897276
175,krasnaya gorbatka,55.8703,41.7641,9.76,65,92,4.43,RU,1712897276
176,tamanrasset,22.785,5.5228,12.95,14,0,2.06,DZ,1712897276
177,kuala terengganu,5.3302,103.1408,32.97,66,20,2.06,MY,1712897276
178,crane,31.3974,-102.3501,19.23,22,1,6.61,US,1712897277
179,ciudad lazaro cardenas,17.9583,-102.2,23.63,82,10,1.16,MX,1712897277
180,kingston,17.997,-76.7936,27.53,78,20,7.2,JM,1712897200
181,kisi,9.0833,3.85,25.93,75,98,4.01,NG,1712897277
182,xishan,27.6667,113.5,20.01,90,100,0.87,CN,1712897044
183,alaghsas,17.0187,8.0168,27.76,11,98,2.89,NE,1712897219
184,richards bay,-28.783,32.0377,15.98,61,18,4.23,ZA,1712897278
185,pilar,-9.5972,-35.9567,25.96,95,14,0.31,BR,1712897279
186,okhotsk,59.3833,143.3,-0.71,91,61,1.46,RU,1712897279
187,guarapari,-20.6667,-40.4975,23.27,90,13,1.55,BR,1712897279
188,iskateley,67.6803,53.1512,-6.43,93,100,6.82,RU,1712897280
189,cabo san lucas,22.8909,-109.9124,22.64,41,100,2.68,MX,1712897280
190,shevchenko,48.5,35.0,17.45,66,74,4.32,UA,1712897280
191,north shore,-36.8,174.75,21.66,82,20,4.92,NZ,1712897281
192,nuku'alofa,-21.1333,-175.2,29.19,79,20,3.6,TO,1712897239
193,kodiak,57.79,-152.4072,3.73,93,75,0.0,US,1712897281
194,buta,2.7858,24.73,22.02,98,99,0.84,CD,1712897282
195,odienne,9.51,-7.5692,25.76,70,85,1.5,CI,1712897174
196,karymskoye,51.6167,114.35,14.35,26,77,1.9,RU,1712897282
197,oliver,49.1831,-119.5524,13.95,41,100,1.54,CA,1712897283
198,remire-montjoly,4.9167,-52.2667,28.02,83,75,5.14,GF,1712897283
199,winneba,5.3511,-0.6231,27.35,84,100,1.48,GH,1712897283
200,padang,-0.9492,100.3543,32.03,81,40,2.68,ID,1712897261
201,rawson,-43.3002,-65.1023,12.53,54,100,6.54,AR,1712897284
202,sanctuary point,-35.1114,150.629,21.66,63,6,4.81,AU,1712897284
203,zorgo,12.2489,-0.6158,31.71,36,97,3.83,BF,1712897234
204,yeniseysk,58.4497,92.1703,-6.14,72,100,3.58,RU,1712897285
205,salalah,17.0151,54.0924,29.05,70,75,1.03,OM,1712897073
206,inirida,3.8653,-67.9239,25.83,83,88,0.93,CO,1712897285
207,general villegas,-35.0328,-63.0125,9.54,87,100,4.03,AR,1712897286
208,suva,-18.1416,178.4415,29.71,66,40,3.6,FJ,1712897286
209,holualoa,19.6228,-155.9522,25.48,87,100,4.12,US,1712897286
210,ad dilam,23.9915,47.1627,22.23,35,88,4.33,SA,1712897286
211,mamuju,-2.6748,118.8885,25.18,93,100,1.26,ID,1712897287
212,la sarre,48.8002,-79.1996,7.32,92,100,6.84,CA,1712897287
213,fort bragg,35.139,-79.006,21.91,77,0,6.17,US,1712897234
214,center point,33.6457,-86.6836,13.05,89,0,2.24,US,1712897052
215,cooper's town,26.8667,-77.5167,24.2,90,28,10.53,BS,1712897288
216,kaman,27.65,77.2667,35.8,15,57,0.82,IN,1712897282
217,atlantic,39.4668,-74.6663,18.43,93,100,8.23,US,1712897289
218,scone,56.4194,-3.4051,11.97,87,97,4.02,GB,1712897289
219,aktau,43.65,51.2,12.32,60,7,4.87,KZ,1712897289
220,victorica,-36.2151,-65.4359,8.11,84,100,4.78,AR,1712897290
221,kayangel,8.0823,134.7173,28.33,77,99,4.67,PW,1712897290
222,derebucak,37.3918,31.5092,12.66,62,27,1.88,TR,1712897290
223,isla vista,34.4133,-119.861,21.3,75,100,0.0,US,1712897290
224,fernie,49.5,-115.0687,9.05,93,100,0.71,CA,1712897291
225,lagunas,-5.2269,-75.6753,23.22,96,77,0.57,PE,1712897291
226,horta,38.5333,-28.6333,15.57,95,20,0.45,PT,1712897292
227,gisborne,-38.6533,178.0042,20.62,75,91,7.26,NZ,1712897136
228,novofedorivka,46.1713,32.3178,15.08,65,10,2.34,UA,1712897292
229,kuytun,54.3419,101.5036,2.15,99,100,2.72,RU,1712897293
230,khandyga,62.6667,135.6,0.37,100,100,3.65,RU,1712897293
231,eyl,7.9803,49.8164,29.69,73,100,3.48,SO,1712897294
232,mokhsogollokh,61.4681,128.9203,-6.54,82,100,4.86,RU,1712897294
233,comodoro rivadavia,-45.8667,-67.5,5.92,56,0,2.06,AR,1712897250
234,manokwari,-0.8667,134.0833,28.76,73,62,4.57,ID,1712897295
235,aasiaat,68.7098,-52.8699,-8.03,96,99,3.03,GL,1712897295
236,saldanha,-33.0117,17.9442,13.03,69,15,3.79,ZA,1712897295
237,queenstown,-31.8976,26.8753,4.21,86,0,0.81,ZA,1712897296
238,labrador city,52.9463,-66.9114,2.88,63,100,4.47,CA,1712897296
239,wotho,10.1657,166.0102,26.93,78,86,8.91,MH,1712897296
240,inarajan village,13.2736,144.7484,32.54,83,100,6.57,GU,1712897297
241,ravar,31.2656,56.8055,18.75,29,0,4.11,IR,1712897075
242,makoua,0.0069,15.6333,23.42,94,100,1.91,CG,1712897297
243,naraini,25.1833,80.4833,36.68,19,89,3.56,IN,1712897297
244,broome,42.2506,-75.833,17.57,94,100,7.72,US,1712897298
245,anadyr,64.75,177.4833,-7.72,85,0,4.0,RU,1712897298
246,qaqortoq,60.7167,-46.0333,-9.21,83,13,3.02,GL,1712897298
247,damara,4.9608,18.7035,24.79,67,76,1.84,CF,1712897261
248,cidreira,-30.1811,-50.2056,20.63,82,100,7.14,BR,1712897299
249,rantauprapat,2.1,99.8333,32.12,60,97,1.57,ID,1712897119
250,mili,6.0815,171.735,26.84,87,100,7.26,MH,1712897300
